INL/MIS-11-21904
TerritoryName,ReportingPeriod,numVins,TotTripsThisMonth,TotDistThisMonth,AvgTripDistance,AvgDistPerDay,AvgNumChargingEventsBetweenTrips,AvgDistanceBetweenChargingEvents,AvgNumChargingEventsPerVehiclePerDay,TotChrgHome,TotChrgLevel2Away,TotChrgUnk,PctTotChrgHome,PctTotChrgLevel2Away,PctTotChrgUnk
ALL,October 2013 through December 2013,3499,781062,5258445.175,6.732,26.65054241780742,3.552,23.915,1.114,164230.000,44369.000,11286.000,74.689,20.178,5.133
"Atlanta, GA Metropolitan Area",October 2013 through December 2013,114,25799,179065.508,6.941,26.73816753770344,3.427,23.783,1.124,5802.000,1134.000,593.000,77.062,15.062,7.876
"Chattanooga, TN Metropolitan Area",October 2013 through December 2013,32,6986,47492.141,6.798,28.38741243275552,3.519,23.926,1.186,1496.000,429.000,60.000,75.365,21.612,3.023
"Chicago, IL Metropolitan Area",October 2013 through December 2013,21,5083,34415.195,6.771,26.53446029298380,3.246,21.976,1.207,1168.000,172.000,226.000,74.585,10.983,14.432
"Dallas/Ft. Worth, TX Metropolitan Area",October 2013 through December 2013,13,2214,16871.007,7.620,28.88871061643835,2.996,22.830,1.265,568.000,171.000,0.000,76.861,23.139,0.000
"Knoxville, TN Metropolitan Area",October 2013 through December 2013,63,12265,94496.570,7.705,29.41069716775599,3.081,23.737,1.239,2653.000,1022.000,306.000,66.642,25.672,7.687
"Los Angeles, CA Metropolitan Area",October 2013 through December 2013,222,48624,311991.421,6.416,24.81439759802751,3.774,24.215,1.025,8979.000,3285.000,620.000,69.691,25.497,4.812
"Memphis, TN Metropolitan Area",October 2013 through December 2013,36,9084,49355.808,5.433,24.70260660660660,4.140,22.496,1.098,1678.000,130.000,386.000,76.481,5.925,17.593
"Nashville, TN Metropolitan Area",October 2013 through December 2013,333,70380,498859.631,7.088,27.64837504849526,3.346,23.720,1.166,15607.000,4192.000,1232.000,74.210,19.932,5.858
Oregon,October 2013 through December 2013,322,80363,487898.446,6.071,25.77926904787065,3.642,22.112,1.166,17369.000,3614.000,1082.000,78.717,16.379,4.904
"Philadelphia, PA Metropolitan Area",October 2013 through December 2013,17,4297,26083.701,6.070,24.72388720379146,3.840,23.310,1.061,907.000,68.000,144.000,81.055,6.077,12.869
"Phoenix, AZ Metropolitan Area",October 2013 through December 2013,147,33906,239979.816,7.078,28.10397189366436,3.561,25.203,1.115,6978.000,1913.000,631.000,73.283,20.090,6.627
"San Diego, CA Metropolitan Area",October 2013 through December 2013,401,94253,619076.769,6.568,26.66710183071290,3.744,24.594,1.084,19438.000,4158.000,1576.000,77.221,16.518,6.261
"San Francisco, CA Metropolitan Area",October 2013 through December 2013,1128,229782,1673001.647,7.281,27.44425273950131,3.525,25.666,1.069,46924.000,16056.000,2203.000,71.988,24.632,3.380
"Tucson, AZ Metropolitan Area",October 2013 through December 2013,46,12509,70264.494,5.617,24.73231045406546,4.374,24.568,1.007,2245.000,422.000,193.000,78.497,14.755,6.748
Washington State,October 2013 through December 2013,571,139199,858737.726,6.169,25.38841432119205,3.495,21.559,1.178,30808.000,7144.000,1880.000,77.345,17.935,4.720
"Washington, D.C. Metropolitan Area",October 2013 through December 2013,30,5593,44412.185,7.941,26.40439060642092,2.839,22.544,1.171,1502.000,314.000,154.000,76.244,15.939,7.817
