,vid,start_ts,end_ts,distance_total,absolute_time_duration_hrs,Rolling_diff,Z-score parked time
272,9,2009-05-15 00:00:31.000000,2009-05-15 23:53:55.000000,37.4952897927491,23.8902777777778,0.11944444444444445,-2.4592878396138684
274,9,2009-05-18 15:32:04.000000,2009-05-18 23:55:00.000000,35.452442968423,8.3825,0.11027777777777778,-2.4613133644801777
276,9,2009-05-21 15:36:30.000000,2009-05-21 23:54:22.000000,27.6765931283313,8.29805555555556,0.13805555555555557,-2.4551754103398458
0,10,2010-02-03 16:42:48.000000,2010-02-04 01:02:08.000000,67.5350631825798,8.3225,15.625,0.9669181615196293
1,10,2010-02-04 16:39:38.000000,2010-02-05 01:03:30.000000,66.9725435941764,8.39805555555555,4.163333333333334,-1.5657244758642899
3,10,2010-02-10 02:04:06.000000,2010-02-11 01:18:04.000000,72.1986763958528,23.2330555555556,4.8213888888888885,-1.4203163422798175
5,12,2010-04-15 03:36:47.000000,2010-04-16 00:37:01.000000,34.9367030082741,21.0041666666667,14.993055555555555,0.8272797048270691
7,12,2010-04-19 05:27:43.000000,2010-04-20 00:40:06.000000,41.4035664316693,19.2066666666667,14.996944444444445,0.8281390184067158
9,15,2008-11-11 05:43:23.000000,2008-11-12 00:06:57.000000,28.658346389018,18.3930555555556,0.495,-2.3763026996365753
10,15,2008-11-12 00:36:39.000000,2008-11-13 00:12:22.000000,21.2397729828672,23.5955555555556,0.4075,-2.395637255178622
11,15,2008-11-13 00:36:49.000000,2008-11-13 22:40:54.000000,28.8523930815063,22.0683333333333,4.655277777777778,-1.4570213080390046
13,15,2008-11-17 16:24:34.000000,2008-11-18 00:28:26.000000,22.6172704548578,8.06472222222222,0.22111111111111112,-2.4368229274602515
14,15,2008-11-18 00:41:42.000000,2008-11-19 00:32:35.000000,14.7181536761097,23.8483333333333,0.11138888888888888,-2.4610678463145645
15,15,2008-11-19 00:39:16.000000,2008-11-20 00:21:02.000000,19.3259361777547,23.6963888888889,0.3547222222222222,-2.4072993680452535
16,15,2008-11-20 00:42:19.000000,2008-11-20 21:13:26.000000,19.5202762101588,20.5188888888889,6.761388888888889,-0.9916416251190087
18,16,2008-11-11 06:04:25.000000,2008-11-12 01:26:00.000000,48.6161653562061,19.36,5.058611111111111,-1.3678982139213793
19,16,2008-11-12 06:29:31.000000,2008-11-13 01:16:57.000000,47.3984626809192,18.7908333333333,2.6566666666666667,-1.8986471084359147
20,16,2008-11-13 03:56:21.000000,2008-11-14 01:14:13.000000,46.8425405731554,21.2980555555556,14.9675,0.8216327870179633
22,16,2008-11-17 16:13:11.000000,2008-11-18 01:35:04.000000,46.014994115488,9.365,14.920277777777779,0.8111982649793987
23,16,2008-11-18 16:30:17.000000,2008-11-19 01:30:47.000000,45.4093717081123,9.00861111111111,2.0733333333333337,-2.027544145382893
24,16,2008-11-19 03:35:11.000000,2008-11-20 01:20:29.000000,46.1304255706379,21.7552777777778,1.9375,-2.0575587411291183
25,16,2008-11-20 03:16:44.000000,2008-11-21 01:11:10.000000,48.7566856355031,21.9075,2.8830555555555555,-1.848622782192206
27,17,2008-11-11 05:53:20.000000,2008-11-11 22:08:14.000000,35.6073743001338,16.2486111111111,6.3175,-1.089726132281519
28,17,2008-11-12 04:27:17.000000,2008-11-13 01:29:24.000000,46.5996356261749,21.0355555555556,2.0772222222222223,-2.0266848318032467
29,17,2008-11-13 03:34:02.000000,2008-11-14 01:40:40.000000,47.5540714360136,22.1108333333333,1.4188888888888889,-2.1721543449291225
31,17,2008-11-17 16:25:01.000000,2008-11-18 01:46:16.000000,52.1038229912877,9.35444444444444,1.9144444444444444,-2.062653243065594
32,17,2008-11-18 03:41:08.000000,2008-11-19 01:30:34.000000,50.2042227165051,21.8241666666667,15.038611111111111,0.8373459496172141
33,17,2008-11-19 16:32:53.000000,2008-11-20 01:33:12.000000,48.7664581192688,9.00555555555556,14.893888888888888,0.8053672085460827
34,17,2008-11-20 16:26:50.000000,2008-11-21 01:31:30.000000,50.9142877532588,9.07805555555556,4.854444444444445,-1.4130121768528219
36,18,2008-11-11 05:53:25.000000,2008-11-12 01:23:06.000000,38.5785777193446,19.495,3.2725,-1.7625686651447472
37,18,2008-11-12 04:39:27.000000,2008-11-13 01:17:46.000000,42.7148047325552,20.6388888888889,15.206944444444444,0.8745419517076278
39,18,2008-11-17 16:30:52.000000,2008-11-18 01:12:01.000000,44.3266970634812,8.68611111111111,15.405833333333334,0.9184897033524074
41,18,2008-11-20 16:37:37.000000,2008-11-21 01:37:58.000000,45.8635554798494,9.00611111111111,5.401944444444444,-1.2920331007468722
268,20,2010-02-11 02:28:33.000000,2010-02-12 01:39:32.000000,37.4494007892303,23.1833333333333,1.2652777777777777,-2.20609723132516
278,58,2013-06-12 09:56:43.000000,2013-06-12 18:46:01.000000,64.2871826585562,8.82194444444444,15.015833333333333,0.8323128272221416
279,58,2013-06-13 09:46:58.000000,2013-06-13 18:43:17.000000,71.5021700644305,8.93888888888889,15.03,0.835443183833711
281,58,2013-06-17 09:48:33.000000,2013-06-17 18:32:48.000000,74.6661990837406,8.73777777777778,15.2575,0.8857130282430329
282,58,2013-06-18 09:48:15.000000,2013-06-18 19:34:26.000000,55.088381858447,9.77,14.154166666666667,0.6419134897890333
283,58,2013-06-19 09:43:41.000000,2013-06-19 18:19:10.000000,61.6512329508623,8.59166666666667,15.446111111111112,0.9273897368558893
284,58,2013-06-20 09:45:56.000000,2013-06-20 18:51:06.000000,73.5457151810446,9.08638888888889,14.9075,0.8083748060748458
286,58,2013-06-24 09:49:28.000000,2013-06-24 17:52:10.000000,73.3798908270969,8.04527777777778,16.003333333333334,1.0505170969109556
287,58,2013-06-25 09:52:22.000000,2013-06-25 19:28:52.000000,61.122473320944,9.60861111111111,14.311111111111112,0.6765929306819111
288,58,2013-06-26 09:47:32.000000,2013-06-26 18:15:22.000000,60.9841100453636,8.46416666666667,15.513333333333334,0.9422435858754935
289,58,2013-06-27 09:46:10.000000,2013-06-27 18:16:00.000000,73.9656102385012,8.4975,15.540833333333333,0.9483201604744225
291,58,2013-07-01 09:49:06.000000,2013-07-01 18:47:18.000000,54.7512433425103,8.97027777777778,15.055277777777778,0.8410287221014137
292,58,2013-07-02 09:50:37.000000,2013-07-02 17:41:55.000000,62.049811081771,7.85527777777778,16.115277777777777,1.0752530520964945
295,58,2013-07-08 09:44:54.000000,2013-07-08 18:33:33.000000,81.082539835926,8.81111111111111,15.36138888888889,0.9086689767278757
297,59,2013-06-13 08:22:27.000000,2013-06-13 21:32:28.000000,72.5611018504519,13.1672222222222,10.882777777777777,-0.08095336931790338
299,59,2013-06-17 08:30:21.000000,2013-06-17 22:06:23.000000,53.6062826276963,13.6008333333333,10.354722222222222,-0.19763587752562065
300,59,2013-06-18 08:27:40.000000,2013-06-19 00:28:20.000000,89.4455742321164,16.0113888888889,8.297777777777778,-0.6521513816172283
301,59,2013-06-19 08:46:12.000000,2013-06-19 18:30:34.000000,59.1589887790352,9.73972222222222,13.976666666666667,0.6026919628323099
302,59,2013-06-20 08:29:10.000000,2013-06-20 22:50:31.000000,63.8681394465202,14.3561111111111,9.491944444444444,-0.3882807331243423
304,59,2013-06-24 08:25:45.000000,2013-06-24 23:20:24.000000,75.8675933266014,14.9111111111111,8.776666666666667,-0.5463330522378992
305,59,2013-06-25 08:07:00.000000,2013-06-26 01:50:32.000000,91.554667253039,17.7258333333333,6.660555555555556,-1.013922398648415
306,59,2013-06-26 08:30:10.000000,2013-06-26 21:31:35.000000,59.6773536620435,13.0238888888889,10.881666666666666,-0.08119888748351671
307,59,2013-06-27 08:24:29.000000,2013-06-27 20:38:58.000000,74.598814748847,12.2416666666667,11.605277777777777,0.07869481787214012
309,59,2013-07-01 08:27:18.000000,2013-07-01 22:40:31.000000,86.253122241421,14.2205555555556,9.70888888888889,-0.34034331128834666
310,59,2013-07-02 08:23:03.000000,2013-07-02 21:45:57.000000,92.4173972724004,13.3819444444444,10.212777777777777,-0.22900082318271878
