Tendances et prix d'ajustement du 01/06/2024
Heure de début;Heure de fin;Prix moyen pondéré à la hausse pour l'équilibre du système électrique(Euros/MWh);Prix le plus élevé des énergies d'équilibrage,comptabilisées à la hausse ou importées (en Euros/MWh);Prix moyen pondéré à la baisse pour l'équilibre du système électrique(Euros/MWh);Prix le moins élevé des énergies d'équilibrage,comptabilisées à la baisse ou exportées (en Euros/MWh);Prix moyen pondéré des Offres d'Ajustement Activées à la Hausse, pour la reconstitution des Services Système  (en Euros/MWh);Prix moyen pondéré des Offres d'Ajustement Activées à la Baisse, pour la reconstitution des Services Système  (en Euros/MWh);Prix moyen pondéré des Offres d'Ajustement Activées à la Hausse, pour la reconstitution des marges (en euros/MWh);Prix moyen pondéré des Offres d'Ajustement Activées à la Baisse, pour la reconstitution des marges (en euros/MWh);Prix Moyen Pondéré, des Offres d'Ajustement Activées à la hausse, pour cause P=C, à partir d'offres dont le DMO est inférieur ou égal à 13 minutes (en euros/MWh);Prix Moyen Pondéré des Offres d'Ajustement Activées à la Baisse, pour cause P=C, à partir d'offres dont le DMO est inférieur ou égal à 13 minutes (en euros/MWh);Prix Moyen Pondéré, des Offres d'Ajustement Activées à la hausse, pour cause P=C, à partir d'offres dont le DMO est strictement supérieur à 13 minutes (en euros/MWh);Prix Moyen Pondéré des Offres d'Ajustement Activées à la Baisse, pour cause P=C, à partir d'offres dont le DMO est strictement supérieur à 13 minutes (en euros/MWh);Prix Moyen Pondéré des offres d'aFRR activées à la Hausse (en euros/MWh);Prix Moyen Pondéré des offres d'aFRR activées à la Baisse(en euros/MWh);Prix clearing TERRE(en euros/MWh);Prix Moyen Pondéré des offres MEAS à la Hausse (en euros/MWh);Prix Moyen Pondéré des offres MEAS à la Baisse (en euros/MWh)
01/06/2024 00:00;01/06/2024 00:30;128.92;131.70;0.47;-15.50;N/A;-3.52;N/A;N/A;N/A;-8.32;N/A;5.56;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:30;01/06/2024 01:00;8.13;8.13;5.89;5.56;N/A;-7.05;N/A;N/A;N/A;N/A;N/A;5.56;N/A;N/A;N/A;N/A;N/A
01/06/2024 01:00;01/06/2024 01:30;9.05;16.76;8.58;8.58;N/A;N/A;N/A;N/A;14.80;N/A;16.76;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 01:30;01/06/2024 02:00;6.10;6.11;14.34;14.34;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 02:00;01/06/2024 02:30;57.09;64.32;6.80;6.80;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 02:30;01/06/2024 03:00;-3.14;0.00;7.53;0.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 03:00;01/06/2024 03:30;17.20;25.28;6.51;6.51;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 03:30;01/06/2024 04:00;-18.72;0.00;8.16;8.16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 04:00;01/06/2024 04:30;5.65;5.65;7.71;7.58;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 04:30;01/06/2024 05:00;5.91;5.91;6.26;5.91;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
