Heure de début,Heure de fin,Besoin en aFRR hausse exprimé par RTE (en MW),Besoin en aFRR baisse exprimé par RTE (en MW),Volume daFRR à la hausse activé pour la France (en MW),Volume daFRR à la baisse activé pour la France (en MW),Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh),Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh),Volume d'aFRR à la hausse activé en France (en MW),Volume d'aFRR à la baisse activé en France (en MW)
01/06/2024 00:00,01/06/2024 00:15,1017,0,527,0,124.41,25.51,527,0
01/06/2024 00:15,01/06/2024 00:30,1437,0,855,0,131.70,43.30,855,0
01/06/2024 00:30,01/06/2024 00:45,678,2,282,18,8.13,10.40,282,18
01/06/2024 00:45,01/06/2024 01:00,0,444,0,182,-7.68,6.49,0,182
01/06/2024 01:00,01/06/2024 01:15,631,47,202,156,6.72,8.58,202,156
01/06/2024 01:15,01/06/2024 01:30,774,0,226,0,5.96,43.30,226,0
01/06/2024 01:30,01/06/2024 01:45,948,0,91,0,6.11,43.30,91,0
01/06/2024 01:45,01/06/2024 02:00,545,0,13,1,6.02,14.34,13,1
01/06/2024 02:00,01/06/2024 02:15,1163,0,428,0,64.32,7.60,428,0
01/06/2024 02:15,01/06/2024 02:30,353,4,56,51,1.42,6.80,56,51
01/06/2024 02:30,01/06/2024 02:45,242,6,121,0,-3.18,0.00,121,0
01/06/2024 02:45,01/06/2024 03:00,3,318,2,227,0.00,7.53,2,227
01/06/2024 03:00,01/06/2024 03:15,408,22,141,75,8.71,6.51,141,75
01/06/2024 03:15,01/06/2024 03:30,461,0,158,0,-5.87,9.40,158,0
01/06/2024 03:30,01/06/2024 03:45,227,13,51,0,-19.23,9.40,51,0
01/06/2024 03:45,01/06/2024 04:00,2,261,3,163,0.00,8.16,3,163
01/06/2024 04:00,01/06/2024 04:15,1,233,0,151,7.36,7.58,0,151
01/06/2024 04:15,01/06/2024 04:30,48,43,4,55,5.65,8.07,4,55
