Volumes et prix des offres standards du 01/06/2024
Heure de début;Heure de fin;Volume du besoin total demandé par RTE à la plateforme (en MW);Le sens d’activation « à la hausse » et « à la baisse »;Volume total satisfait par la plateforme (en MW);Volume total activé en France par la plateforme, tout besoin confondu (en MW);Volume total activé en France par la plateforme, pour motif P=C (en MW);Volume total activé en France par la plateforme, pour motif RSO international (en MW);Prix clearing (en Euros/MWh);Volume demandé au prix 1 par RTE à la plateforme (en MW);Prix 1 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 1 (en MW);Volume demandé au prix 2 par RTE à la plateforme (en MW);Prix 2 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 2 (en MW);Volume demandé au prix 3 par RTE à la plateforme (en MW);Prix 3 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 3 (en MW);Volume demandé au prix 4 par RTE à la plateforme (en MW);Prix 4 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 4 (en MW);Volume demandé au prix 5 par RTE à la plateforme (en MW);Prix 5 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 5 (en MW);Volume demandé au prix 6 par RTE à la plateforme (en MW);Prix 6 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 6 (en MW);Volume demandé au prix 7 par RTE à la plateforme (en MW);Prix 7 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 7 (en MW);Volume demandé au prix 8 par RTE à la plateforme (en MW);Prix 8 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 8 (en MW);Volume demandé au prix 9 par RTE à la plateforme (en MW);Prix 9 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 9 (en MW);Volume demandé au prix 10 par RTE à la plateforme (en MW);Prix 10 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 10 (en MW);Volume demandé au prix 11 par RTE à la plateforme (en MW);Prix 11 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 11 (en MW);Volume demandé au prix 12 par RTE à la plateforme (en MW);Prix 12 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 12 (en MW)
01/06/2024 00:00;01/06/2024 00:15;N/A;UPWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:00;01/06/2024 00:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:15;01/06/2024 00:30;N/A;UPWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:15;01/06/2024 00:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:30;01/06/2024 00:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:30;01/06/2024 00:45;N/A;UPWARD;N/A;N/A;N/A;N/A;7.13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:45;01/06/2024 01:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;-6.39;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 00:45;01/06/2024 01:00;N/A;UPWARD;N/A;N/A;N/A;N/A;-6.39;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 01:00;01/06/2024 01:15;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
01/06/2024 01:00;01/06/2024 01:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
