Date;Heure;UTC;Besoin en aFRR hausse exprimé par RTE à la plateforme PICASSO (en MW);Besoin en aFRR baisse exprimé par RTE à la plateforme PICASSO (en MW);Volume d'aFRR à la hausse activé pour la France par la plateforme PICASSO (en MW);Volume d'aFRR à la baisse activé pour la France par la plateforme PICASSO (en MW);Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh);Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh);Volume d'offres d'aFRR déposées et matchées à la hausse (en MW);Volume d'offres d'aFRR déposées et matchées à la baisse (en MW);Volume d'aFRR à la hausse activé en France par la plateforme (en MW);Volume d'aFRR à la baisse activé en France par la plateforme (en MW);Volume d'offres d'aFRR indisponibles à la hausse (en MW);Volume d'offres d'aFRR indisponibles à la baisse (en MW);Prix moyen Pondéré des offres d'aFRR déposées à la hausse (en Euros/MWh);Prix moyen Pondéré des offres d'aFRR déposées à la baisse (en Euros/MWh)
06/06/2024;00:00:00 - 00:15:00;UTC +02:00;527;33;316;140;55.49;0;905;901;316;140;0;0;38.58;28.28
06/06/2024;00:15:00 - 00:30:00;UTC +02:00;497;12;382;0;27.89;56.29;819;815;382;0;0;0;36.76;25.08
06/06/2024;00:30:00 - 00:45:00;UTC +02:00;5;456;4;250;0;-15.89;859;855;4;250;0;0;37.22;23.52
06/06/2024;00:45:00 - 01:00:00;UTC +02:00;0;1147;0;833;10.45;-76.91;842;838;0;833;0;0;36.11;22.30
06/06/2024;01:00:00 - 01:15:00;UTC +02:00;0;367;27;432;5.74;-1.90;852;848;27;432;0;0;32.73;21.34
06/06/2024;01:15:00 - 01:30:00;UTC +02:00;7;221;28;237;8.39;-7.72;685;681;28;237;0;0;31.03;15.88
06/06/2024;01:30:00 - 01:45:00;UTC +02:00;205;19;42;12;4.61;31.12;890;886;42;12;0;0;20.14;8.02
06/06/2024;01:45:00 - 02:00:00;UTC +02:00;26;176;0;205;-20.80;23.12;942;938;0;205;0;0;21.59;10.13
06/06/2024;02:00:00 - 02:15:00;UTC +02:00;541;0;230;0;13.43;0;919;915;230;0;0;0;18.68;7.20
06/06/2024;02:15:00 - 02:30:00;UTC +02:00;109;138;42;41;-10.23;11.86;919;915;42;41;0;0;18.68;7.20
06/06/2024;02:30:00 - 02:45:00;UTC +02:00;9;194;0;274;-20.80;12.98;851;847;0;274;0;0;16.61;5.00
06/06/2024;02:45:00 - 03:00:00;UTC +02:00;0;538;0;367;-20.80;5.76;866;862;0;367;0;0;16.39;6.09
06/06/2024;03:00:00 - 03:15:00;UTC +02:00;213;8;49;24;-13.04;12.29;920;916;49;24;0;0;15.29;7.66
06/06/2024;03:15:00 - 03:30:00;UTC +02:00;206;5;2;10;-19.16;37.12;868;864;2;10;0;0;14.19;6.36
06/06/2024;03:30:00 - 03:45:00;UTC +02:00;68;31;0;25;-5.26;37.42;798;794;0;25;0;0;17.26;8.76
06/06/2024;03:45:00 - 04:00:00;UTC +02:00;4;232;0;137;-16.96;14.83;783;779;0;137;0;0;16.76;8.21
06/06/2024;04:00:00 - 04:15:00;UTC +02:00;0;583;0;539;-16.96;-12.98;616;612;0;539;0;0;19.29;8.06
06/06/2024;04:15:00 - 04:30:00;UTC +02:00;0;382;0;385;-16.96;9.72;606;602;0;385;0;0;18.97;7.25
06/06/2024;04:30:00 - 04:45:00;UTC +02:00;0;485;0;469;9.72;6.26;582;578;0;469;0;0;25.10;12.07
06/06/2024;04:45:00 - 05:00:00;UTC +02:00;0;580;0;485;9.72;-14.25;582;578;0;485;0;0;25.12;11.24
06/06/2024;05:00:00 - 05:15:00;UTC +02:00;0;880;0;562;9.72;-51.23;564;560;0;562;0;0;26.34;10.91
06/06/2024;05:15:00 - 05:30:00;UTC +02:00;0;455;0;490;9.72;-2.18;564;560;0;490;0;0;26.34;10.27
06/06/2024;05:30:00 - 05:45:00;UTC +02:00;0;616;0;526;-0.50;-41.26;588;584;0;526;0;0;24.63;10.19
06/06/2024;05:45:00 - 06:00:00;UTC +02:00;0;241;0;303;-0.50;8.31;588;584;0;303;0;0;25.42;10.97
06/06/2024;06:00:00 - 06:15:00;UTC +02:00;0;539;0;471;-0.50;-14.79;586;582;0;471;0;0;29.32;12.12
06/06/2024;06:15:00 - 06:30:00;UTC +02:00;4;453;0;285;-0.50;-17.20;656;652;0;285;0;0;29.82;14.45
06/06/2024;06:30:00 - 06:45:00;UTC +02:00;0;708;0;636;-0.50;-24.46;681;677;0;636;0;0;29.76;14.69
06/06/2024;06:45:00 - 07:00:00;UTC +02:00;7;321;0;445;-0.50;7.96;681;677;0;445;0;0;29.18;14.37
06/06/2024;07:00:00 - 07:15:00;UTC +02:00;58;38;10;42;10.56;32.92;663;659;10;42;0;0;33.21;16.89
